Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Adam Randell,A. Randell,Bristol City,Midfield,ENG - Championship,45.2,75.5,41.9,11.8
Kane Vincent-Young,K. Vincent-Young,Colchester United FC,Full Back,ENG - League Two,4.8,32.9,9.9,0.7
Armando Dobra,A. Dobra,Chesterfield FC,Wide Attacker,ENG - League Two,22.8,45.1,36.6,30.2
Idris El Mizouni,I. El Mizouni,Leyton Orient FC,Midfield,ENG - League One,56.8,27.3,26.4,22.5
Anthony Dean O'Connor,A. O'Connor,Harrogate Town FC,Central Defender,ENG - League Two,26.3,41.0,47.9,11.9
Jonah Ayunga,J. Ayunga,St. Mirren,Center Forward,SCO - Premiership,61.2,41.0,10.1,34.1
John Marquis,J. Marquis,Shrewsbury Town,Center Forward,ENG - League Two,18.3,37.0,40.6,46.5
Marcus Myers-Harness,M. Harness,Huddersfield Town,Midfield,ENG - League One,26.1,54.3,53.4,30.8
Marcus Myers-Harness,M. Harness,Huddersfield Town,Wide Attacker,ENG - League One,14.8,25.8,48.3,58.0
Haji Suleiman Mnoga,H. Mnoga,Salford City FC,Full Back,ENG - League Two,58.6,48.1,69.8,67.3
Reeco Hackett-Fairchild,R. Hackett,Lincoln City FC,Wide Attacker,ENG - League One,32.5,56.8,82.8,69.5
Kyle Knoyle,K. Knoyle,Mansfield Town FC,Full Back,ENG - League One,12.0,52.1,23.7,13.2
Ollie Palmer,O. Palmer,Swindon Town,Center Forward,ENG - League Two,12.6,20.2,10.9,21.9
Nesta Guinness-Walker,N. Guinness-Walker,Northampton Town FC,Central Defender,ENG - League One,51.5,69.8,74.0,89.4
Nesta Guinness-Walker,N. Guinness-Walker,Northampton Town FC,Full Back,ENG - League One,58.4,33.0,35.9,58.6
Ben Heneghan,B. Heneghan,Port Vale FC,Central Defender,ENG - League One,10.6,25.5,24.0,45.8
Jack Rudoni,J. Rudoni,Coventry City Football Club,Midfield,ENG - Championship,64.8,46.2,80.2,69.3
Luke Offord,L. Offord,Milton Keynes Dons,Central Defender,ENG - League Two,15.2,39.0,62.4,58.8
Luke Offord,L. Offord,Milton Keynes Dons,Central Defender,ENG - League Two,24.4,31.6,16.7,60.2
Mikael Mandron,M. Mandron,St. Mirren,Center Forward,SCO - Premiership,3.7,9.3,50.6,54.8
Alfie May,A. May,Huddersfield Town,Center Forward,ENG - League One,35.1,37.7,87.9,79.6
Conor Thomas,C. Thomas,Crewe Alexandra FC,Midfield,ENG - League Two,24.8,60.3,48.2,60.4
Charlie Raglan,C. Raglan,Barrow AFC,Central Defender,ENG - League Two,8.5,39.8,24.8,6.4
Charlie Raglan,C. Raglan,Barrow AFC,Central Defender,ENG - League Two,25.2,22.4,23.6,18.6
Will Boyle,W. Boyle,Shrewsbury Town,Central Defender,ENG - League Two,15.7,43.6,40.9,49.2
Callum Wright,C. Wright,Wigan Athletic,Midfield,ENG - League One,88.6,44.4,67.4,67.4
Lewis Freestone,L. Freestone,Stevenage FC,Full Back,ENG - League One,25.8,12.0,17.2,5.6
George Lloyd,G. Lloyd,Shrewsbury Town,Center Forward,ENG - League Two,46.5,35.3,85.2,50.1
James Brophy,J. Brophy,Cambridge United,Wide Attacker,ENG - League Two,48.1,64.9,51.7,51.0
Joe Ironside,J. Ironside,Tranmere Rovers FC,Center Forward,ENG - League Two,3.9,26.4,30.5,34.7
Jack Iredale,J. Iredale,Hibernian,Central Defender,SCO - Premiership,81.0,48.5,70.3,69.0
Antoni Sarcevic,A. Sarcevic,Bradford City AFC,Midfield,ENG - League One,45.6,46.9,79.9,65.0
Warren Patrick  O'Hora,W. O'Hora,Hibernian,Central Defender,SCO - Premiership,4.3,19.7,42.1,45.6
Harry Darling,H. Darling,Norwich City,Central Defender,ENG - Championship,55.0,30.8,34.6,18.2
Zak Jules,Z. Jules,Rotherham United,Central Defender,ENG - League One,7.0,44.6,32.0,48.3
Aden Baldwin,A. Baldwin,Bradford City AFC,Central Defender,ENG - League One,30.5,28.5,10.7,44.7
Joe Ward,J. Ward,Derby County FC,Full Back,ENG - Championship,79.8,72.4,28.0,21.3
Harrison Burrows,H. Burrows,Sheffield United,Full Back,ENG - Championship,33.2,26.5,37.2,55.1
Idris Sheka Kanu,I. Kanu,Barnet FC,Full Back,ENG - League Two,79.8,68.3,51.2,50.4
Ethan Hamilton,E. Hamilton,Dundee FC,Midfield,SCO - Premiership,46.0,29.3,16.8,52.2
Joel Randall,J. Randall,Bolton Wanderers,Midfield,ENG - League One,71.7,40.9,82.1,91.1
Luke Garbutt,L. Garbutt,Salford City FC,Central Defender,ENG - League Two,90.9,84.8,69.2,54.3
Jerry Yates,J. Yates,Luton Town,Center Forward,ENG - League One,33.4,45.5,39.4,62.6
Marvin Ekpiteta,M. Ekpiteta,Milton Keynes Dons,Central Defender,ENG - League Two,52.3,49.9,32.1,25.4
Cameron Antwi,C. Antwi,Newport County AFC,Midfield,ENG - League Two,9.5,25.5,6.6,5.1
Sonny Carey,S. Carey,Charlton Athletic,Midfield,ENG - Championship,64.7,45.1,55.3,54.6
Ryan Sweeney,R. Sweeney,Mansfield Town FC,Central Defender,ENG - League One,23.6,22.7,63.1,59.9
Bradley Locko,B. Locko,Stade Brestois 29,Full Back,FRA - Ligue 1,48.9,16.1,29.6,4.0
Mark McGuinness,M. McGuinness,Sheffield United,Central Defender,ENG - Championship,39.4,56.1,4.0,18.0
Ryan Wintle,R. Wintle,Cardiff City,Midfield,ENG - League One,81.3,62.2,8.3,55.3
Ryan Wintle,R. Wintle,Cardiff City,Midfield,ENG - League One,77.1,28.7,35.2,56.3
Kyle Joseph,K. Joseph,Hull City,Center Forward,ENG - Championship,62.9,21.0,75.0,93.0
Dango Aboubacar Faissal Ouattara,Dango Ouattara,Brentford FC,Wide Attacker,ENG - Premier League,84.9,87.9,47.5,57.4
Jodi Felice Jones,J. Jones,Notts County FC,Full Back,ENG - League Two,48.8,68.4,50.0,51.8
Isaac Hutchinson,I. Hutchinson,Cheltenham Town,Midfield,ENG - League Two,35.4,47.4,68.2,86.8
Ollie Turton,O. Turton,Salford City FC,Central Defender,ENG - League Two,14.3,79.9,77.0,87.7
Alfie Jones,A. Jones,Middlesbrough,Central Defender,ENG - Championship,82.8,25.1,54.7,72.4
Abdoul Bamo Meïté,B. Meïté,FC Lorient,Central Defender,FRA - Ligue 1,32.5,38.3,66.0,58.1
Patrick Osterhage,P. Osterhage,SC Freiburg,Midfield,GER - Bundesliga,88.7,54.6,38.9,87.3
Sam  Beukema,S. Beukema,Napoli,Central Defender,ITA - Serie A,17.8,29.9,46.8,73.1
Jesús Areso Blanco,Jesús Areso,Athletic Club de Bilbao,Full Back,ESP - LaLiga,80.8,58.6,56.0,45.2
Ryan Longman,R. Longman,Wrexham FC,Full Back,ENG - Championship,64.8,53.3,50.7,44.1
Liam Bennett,L. Bennett,Cambridge United,Full Back,ENG - League Two,37.8,61.4,61.7,87.3
Liam Bennett,L. Bennett,Cambridge United,Full Back,ENG - League Two,22.2,38.1,65.6,98.2
Ellis Taylor,E. Taylor,Harrogate Town FC,Wide Attacker,ENG - League Two,16.2,22.2,49.3,84.2
Thomas Stanley Bloxham,Tom Bloxham,Blackpool,Center Forward,ENG - League One,44.3,26.0,37.9,66.3
Jay Idzes,J. Idzes,Sassuolo,Central Defender,ITA - Serie A,66.6,65.7,64.5,31.3
Robert  Street,R. Street,Lincoln City FC,Wide Attacker,ENG - League One,39.7,59.3,50.0,72.8
Scott Smith,S. Smith,Barrow AFC,Midfield,ENG - League Two,63.4,56.8,47.3,19.7
Roger Brugué Ayguadé,Roger Brugué,Levante UD,Wide Attacker,ESP - LaLiga,11.6,29.3,42.5,61.3
Yousef Salech,Y. Salech,Cardiff City,Center Forward,ENG - League One,38.9,66.6,57.7,14.3
Ben Knight,B. Knight,Cambridge United,Midfield,ENG - League Two,97.5,85.8,72.4,33.8
Mamadou Jobe,M. Jobe,Cambridge United,Central Defender,ENG - League Two,90.8,86.2,78.6,80.3
Ismael kenneth Jordan Koné,I. Koné,Sassuolo,Midfield,ITA - Serie A,80.1,85.2,46.6,34.1
Samuele Angori,S. Angori,Pisa Sporting Club,Full Back,ITA - Serie A,18.5,38.8,77.2,89.8
Simone Canestrelli,S. Canestrelli,Pisa Sporting Club,Central Defender,ITA - Serie A,38.0,31.7,57.5,73.8
Simone Canestrelli,S. Canestrelli,Pisa Sporting Club,Central Defender,ITA - Serie A,21.0,45.4,44.3,55.7
Sam Sherring,S. Sherring,Cheltenham Town,Central Defender,ENG - League Two,17.3,46.0,47.3,58.4
Federico Baschirotto,F. Baschirotto,US Cremonese,Central Defender,ITA - Serie A,54.3,67.5,70.7,57.7
Alfie Chang,A. Chang,Bristol Rovers FC,Midfield,ENG - League Two,26.1,44.7,35.5,10.8
Tom Fellows,T. Fellows,Southampton,Full Back,ENG - Championship,93.7,97.3,86.1,96.6
Alex Mitchell,A. Mitchell,Plymouth Argyle,Central Defender,ENG - League One,60.6,52.0,16.7,59.8
Mitchell Clark,M. Clark,Port Vale FC,Full Back,ENG - League One,51.5,32.8,18.4,8.9
Amadou Salif Mbengue,A. Mbengue,Queens Park Rangers,Full Back,ENG - Championship,92.7,63.3,47.9,17.7
Théo Le Bris,T. Le Bris,FC Lorient,Full Back,FRA - Ligue 1,80.4,92.8,80.7,61.0
Alessandro Zanoli,A. Zanoli,Udinese,Full Back,ITA - Serie A,93.6,85.7,61.8,60.4
Ciarán Kelly,C. Kelly,Bradford City AFC,Central Defender,ENG - League One,33.0,48.3,22.6,74.4
Nasser Yacouba Djiga,N. Djiga,Rangers,Central Defender,SCO - Premiership,83.4,78.5,33.0,48.1
Patrick Kelly,P. Kelly,Barnsley FC,Midfield,ENG - League One,64.8,38.0,55.2,74.6
Jordan Gibson,J. Gibson,Doncaster Rovers FC,Wide Attacker,ENG - League One,11.9,29.2,46.1,55.7
Mattie Pollock,M. Pollock,Watford,Central Defender,ENG - Championship,9.7,17.5,17.1,21.5
Žan Vipotnik,Ž. Vipotnik,Swansea City,Center Forward,ENG - Championship,39.4,71.1,62.8,37.4
Carl Johnston,C. Johnston,Peterborough United,Full Back,ENG - League One,23.1,64.7,43.4,70.0
Thierno Ballo,T. Ballo,Millwall FC,Wide Attacker,ENG - Championship,40.6,39.4,65.0,76.8
Thierry Small,T. Small,Preston North End,Full Back,ENG - Championship,91.4,73.9,39.7,63.2
Tom Cannon,T. Cannon,Sheffield United,Center Forward,ENG - Championship,69.0,65.5,58.1,52.0
Jayden Wareham,J. Wareham,Exeter City FC,Center Forward,ENG - League One,28.1,59.0,47.4,70.7
Charlie Webster,C. Webster,Burton Albion,Midfield,ENG - League One,37.3,53.9,49.4,43.0
Charlie Savage,C. Savage,Reading,Midfield,ENG - League One,72.9,26.3,56.3,81.9
Charlie Savage,C. Savage,Reading,Midfield,ENG - League One,87.3,64.2,73.4,80.9
Álvaro Fernández Carreras,Álvaro Carreras,Real Madrid CF,Full Back,ESP - LaLiga,61.2,40.9,69.4,35.5
Joseph Olowu,J. Olowu,Stockport County FC,Central Defender,ENG - League One,85.9,78.4,45.7,25.1
Matías Soulé Malvano,M. Soulé,Roma,Midfield,ITA - Serie A,53.0,81.0,93.9,60.7
Brandon Hanlan,B. Hanlan,Doncaster Rovers FC,Center Forward,ENG - League One,52.4,97.1,39.6,25.9
William Mbongo Desire Hondermarck,W. Hondermarck,Bromley FC,Midfield,ENG - League Two,87.6,58.7,46.9,12.3
Kaoru Mitoma,K. Mitoma,Brighton and Hove Albion,Wide Attacker,ENG - Premier League,77.1,28.1,67.5,53.7
Kelvin Ehibhatiomhan,K. Ehibhatiomhan,Reading,Center Forward,ENG - League One,40.1,33.0,25.2,62.1
Bradley Barcola,B. Barcola,Paris Saint-Germain,Wide Attacker,FRA - Ligue 1,98.7,89.2,35.8,10.3
George Tanner,G. Tanner,Bristol City,Central Defender,ENG - Championship,55.5,84.4,85.4,86.1
Mohamed El Amine Amoura,M. Amoura,VfL Wolfsburg,Center Forward,GER - Bundesliga,86.4,64.0,65.2,94.7
Lewis Dobbin,L. Dobbin,Preston North End,Center Forward,ENG - Championship,78.2,64.6,72.6,62.3
Lewis Hall,L. Hall,Newcastle United,Full Back,ENG - Premier League,42.0,49.2,66.6,70.7
Finley Burns,F. Burns,Reading,Central Defender,ENG - League One,24.3,25.2,41.1,84.6
Adrián Bernabé García,Adrián Bernabé,Parma,Midfield,ITA - Serie A,64.4,45.9,45.1,17.1
Caspar Jander,C. Jander,Southampton,Midfield,ENG - Championship,52.0,54.7,87.9,85.8
Emre Tezgel,E. Tezgel,Crewe Alexandra FC,Center Forward,ENG - League Two,44.8,38.9,25.8,39.4
Josh Feeney,J. Feeney,Huddersfield Town,Central Defender,ENG - League One,11.6,44.8,34.7,56.2
Nico O'Reilly,N. O'Reilly,Manchester City,Full Back,ENG - Premier League,92.9,76.5,75.1,62.5
Ashley Phillips,A. Phillips,Stoke City,Central Defender,ENG - Championship,70.7,68.9,75.1,75.5
Amario Cozier-Duberry,A. Cozier-Duberry,Bolton Wanderers,Wide Attacker,ENG - League One,66.7,82.8,82.0,69.5
Bobby Clark,B. Clark,Derby County FC,Midfield,ENG - Championship,66.3,71.5,76.7,70.6
Bobby Clark,B. Clark,Derby County FC,Midfield,ENG - Championship,55.0,56.4,83.8,65.1
Callum Agius,C. Agius,Crewe Alexandra FC,Wide Attacker,ENG - League Two,14.9,75.2,74.5,85.5
Charlie Whitaker,C. Whitaker,Tranmere Rovers FC,Midfield,ENG - League Two,91.9,75.8,55.7,12.5
Isaac Romero Bernal,Isaac Romero,Sevilla FC,Center Forward,ESP - LaLiga,94.9,74.4,67.4,72.3
Juan Luis Sánchez Velasco,Juanlu Sánchez,Sevilla FC,Full Back,ESP - LaLiga,49.8,43.6,73.0,58.0
Enrique Jesús Salas Valiente,Kike Salas,Sevilla FC,Central Defender,ESP - LaLiga,69.2,72.5,89.6,64.6
Abdessamad Ezzalzouli,A. Ezzalzouli,Real Betis Balompié,Wide Attacker,ESP - LaLiga,92.6,96.6,64.6,15.8
Maghnes Akliouche,M. Akliouche,AS Monaco,Wide Attacker,FRA - Ligue 1,19.2,24.9,56.1,52.8
Kévin Danois,K. Danois,AJ Auxerre,Midfield,FRA - Ligue 1,73.1,85.5,82.5,79.9
Ivan Smolčić,I. Smolčić,Como 1907,Full Back,ITA - Serie A,49.5,51.6,65.5,77.8
Sambou Soumano,S. Soumano,FC Lorient,Center Forward,FRA - Ligue 1,39.3,41.2,27.7,31.6
Freddie Draper,F. Draper,Lincoln City FC,Center Forward,ENG - League One,25.3,25.6,44.5,70.9
Raúl Asencio del Rosario,Raúl Asencio,Real Madrid CF,Central Defender,ESP - LaLiga,98.3,90.4,27.1,7.7
Warren Zaire-Emery,W. Zaire-Emery,Paris Saint-Germain,Full Back,FRA - Ligue 1,39.5,35.5,84.5,98.2
Ethan Ennis,E. Ennis,Fleetwood Town FC,Full Back,ENG - League Two,46.3,85.1,19.3,35.1
Daniel Gore,D. Gore,Rotherham United,Midfield,ENG - League One,38.1,55.2,24.5,13.5
Stanley Mills,S. Mills,Oxford United,Wide Attacker,ENG - Championship,86.2,65.2,37.2,22.4
Lewis Warrington,L. Warrington,Walsall FC,Midfield,ENG - League Two,14.0,28.0,59.5,78.1
Matúš Holíček,M. Holíček,Crewe Alexandra FC,Midfield,ENG - League Two,80.5,63.9,68.3,74.6
Soumaïla Coulibaly ,S. Coulibaly,Stade Brestois 29,Central Defender,FRA - Ligue 1,88.1,75.8,39.1,6.0
Antonio Eromonsele Nordby Nusa,A. Nusa,RB Leipzig,Wide Attacker,GER - Bundesliga,38.8,68.7,52.2,71.9
Michael Craig,M. Craig,Leyton Orient FC,Full Back,ENG - League One,19.8,14.6,79.8,55.7
Jordan James,J. James,Leicester City,Midfield,ENG - Championship,63.6,68.2,48.3,68.8
Imari Samuels,I. Samuels,Dundee FC,Full Back,SCO - Premiership,36.6,38.2,60.9,70.6
Kelvin Abrefa,K. Abrefa,Reading,Full Back,ENG - League One,63.6,72.6,22.4,39.8
Leopold Querfeld,L. Querfeld,FC Union Berlin,Central Defender,GER - Bundesliga,22.5,24.5,51.9,28.0
Amar Abdirahman Ahmed Fatah,A. Fatah,Dundee United,Wide Attacker,SCO - Premiership,39.7,43.6,39.5,20.7
Sindre Walle Egeli,S. Egeli,Ipswich Town,Wide Attacker,ENG - Championship,37.4,23.8,72.2,78.1
Kallum Xzeiba Tracey Cesay,K. Cesay,Salford City FC,Midfield,ENG - League Two,99.3,89.7,80.5,42.2
Rômulo José Cardoso da Cruz,Rômulo,RB Leipzig,Center Forward,GER - Bundesliga,54.5,54.2,69.9,98.3
Chris Forino-Joseph,C. Forino-Joseph,Bolton Wanderers,Central Defender,ENG - League One,62.9,47.4,18.5,31.7
Conor Bradley,C. Bradley,Liverpool Football Club,Full Back,ENG - Premier League,69.2,36.3,76.7,62.2
Fisnik Asllani,F. Asllani,TSG 1899 Hoffenheim,Center Forward,GER - Bundesliga,1.6,26.0,51.2,97.9
Sam Gale,S. Gale,Gillingham FC,Central Defender,ENG - League Two,89.9,82.4,88.8,90.3
Mason Burstow,M. Burstow,Bolton Wanderers,Center Forward,ENG - League One,13.2,20.3,70.3,91.3
César  Tárrega Requeni,César Tárrega,Valencia CF,Central Defender,ESP - LaLiga,96.2,93.8,87.6,54.9
Tatsuhiro Sakamoto,T. Sakamoto,Coventry City Football Club,Wide Attacker,ENG - Championship,11.1,39.8,62.4,22.5
Maxwell Conway,M. Conway,Bolton Wanderers,Full Back,ENG - League One,52.5,51.3,46.7,49.3
Alessandro Circati,A. Circati,Parma,Central Defender,ITA - Serie A,70.7,46.8,62.5,35.7
Bryan Zaragoza Martínez,Bryan Zaragoza,RC Celta de Vigo,Wide Attacker,ESP - LaLiga,42.8,70.3,28.1,19.1
Kamory Doumbia,K. Doumbia,Stade Brestois 29,Midfield,FRA - Ligue 1,1.1,36.2,64.6,80.8
Wesley Vinícius França Lima,Wesley,Roma,Full Back,ITA - Serie A,91.6,92.0,71.5,76.4
Emmanuel Mbule Longelo,E. Longelo,Motherwell,Full Back,SCO - Premiership,84.6,88.1,36.7,52.2
Nikola Štulić,N. Štulić,Lecce,Center Forward,ITA - Serie A,21.9,46.3,59.8,47.1
Emersonn Correia da Silva,Emersonn,Toulouse FC,Center Forward,FRA - Ligue 1,66.4,95.5,94.1,94.7
Jonathan Tomkinson,J. Tomkinson,Cheltenham Town,Full Back,ENG - League Two,44.3,29.3,47.3,23.1
Reyes Cleary,R. Cleary,Barnsley FC,Wide Attacker,ENG - League One,84.5,78.1,19.5,13.2
Josh Woods,J. Woods,Accrington Stanley,Center Forward,ENG - League Two,72.5,56.8,53.0,82.8
Adam Senior,A. Senior,Barnet FC,Central Defender,ENG - League Two,68.3,42.7,72.4,91.5
Edward James Turns,E. Turns,Exeter City FC,Central Defender,ENG - League One,3.2,39.0,43.1,84.4
Jarell Amorin Quansah,J. Quansah,Bayer 04 Leverkusen,Central Defender,GER - Bundesliga,72.6,46.8,55.1,74.6
Frank Magri,F. Magri,Toulouse FC,Center Forward,FRA - Ligue 1,32.2,28.1,59.2,67.2
Rafael Marín Zamora,Rafa Marín,Villarreal CF,Central Defender,ESP - LaLiga,39.4,34.1,51.7,57.2
James Bolton,J. Bolton,Fleetwood Town FC,Central Defender,ENG - League Two,5.1,25.3,36.8,46.7
Kamil Amadu Conteh,K. Conteh,Bristol Rovers FC,Midfield,ENG - League Two,14.9,27.3,31.4,12.1
Connor O'Riordan,C. O'Riordan,Doncaster Rovers FC,Central Defender,ENG - League One,41.3,41.8,32.1,37.3
Saël Kumbedi Nseke,S. Kumbedi,VfL Wolfsburg,Full Back,GER - Bundesliga,38.2,33.9,39.7,59.7
Ronan Darcy,R. Darcy,Chesterfield FC,Midfield,ENG - League Two,63.3,41.4,43.7,65.4
Louis Mouton,L. Mouton,Angers SCO,Midfield,FRA - Ligue 1,15.0,73.9,84.6,94.9
Jacob Bedeau,J. Bedeau,Notts County FC,Central Defender,ENG - League Two,23.2,78.0,64.3,43.9
Rosaire Longelo-Mbule,R. Longelo-Mbule,Salford City FC,Full Back,ENG - League Two,42.6,25.5,32.4,65.6
Iurie  Iovu,I. Iovu,Dundee United,Central Defender,SCO - Premiership,80.4,57.7,69.4,38.9
Justin Njinmah,J. Njinmah,SV Werder Bremen,Center Forward,GER - Bundesliga,98.8,97.7,37.2,54.9
Josh Mulligan,J. Mulligan,Hibernian,Midfield,SCO - Premiership,69.7,72.4,71.3,63.3
James Brown,J. Brown,Kilmarnock,Full Back,SCO - Premiership,11.3,26.8,60.9,50.3
Liam Morrison,L. Morrison,Queens Park Rangers,Central Defender,ENG - Championship,15.1,27.5,7.4,28.4
Kenan Yıldız,K. Yıldız,Juventus,Midfield,ITA - Serie A,89.9,83.6,47.9,9.8
Aaron Zehnter,A. Zehnter,VfL Wolfsburg,Full Back,GER - Bundesliga,27.8,26.0,36.7,73.8
Nathaniel Brown,N. Brown,Eintracht Frankfurt,Full Back,GER - Bundesliga,49.6,43.9,75.8,54.9
Brooke Norton-Cuffy,B. Norton-Cuffy,Genoa,Full Back,ITA - Serie A,59.3,61.5,61.4,50.9
Mika Biereth,M. Biereth,AS Monaco,Center Forward,FRA - Ligue 1,46.9,23.9,29.2,53.5
Ryan Alebiosu,R. Alebiosu,Blackburn Rovers,Full Back,ENG - Championship,83.7,88.8,27.2,15.3
Jack Milne,J. Milne,Aberdeen,Central Defender,SCO - Premiership,64.3,44.4,33.0,37.3
Bobby Faulkner,B. Faulkner,Harrogate Town FC,Central Defender,ENG - League Two,66.4,68.9,45.3,55.2
Jacques Ekomié,J. Ekomié,Angers SCO,Full Back,FRA - Ligue 1,69.6,63.5,75.3,81.7
Ben House,B. House,Lincoln City FC,Wide Attacker,ENG - League One,28.9,15.9,55.0,82.8
Reece Hutchinson,R. Hutchinson,Crewe Alexandra FC,Full Back,ENG - League Two,68.9,85.2,45.2,50.6
Pharrel Nnamdi Collins,N. Collins,Eintracht Frankfurt,Central Defender,GER - Bundesliga,66.1,28.3,90.1,79.8
Dan Kemp,D. Kemp,Stevenage FC,Midfield,ENG - League One,62.0,81.4,73.3,37.6
Milos Kerkez,M. Kerkez,Liverpool Football Club,Full Back,ENG - Premier League,82.2,82.9,76.2,20.9
Lorent Tolaj,L. Tolaj,Plymouth Argyle,Center Forward,ENG - League One,78.8,79.4,58.2,20.3
Ben Chrisene,B. Chrisene,Norwich City,Full Back,ENG - Championship,11.9,52.3,38.2,27.7
Kialonda Gaspar,Kialonda Gaspar,Lecce,Central Defender,ITA - Serie A,67.9,40.9,52.1,21.6
Joshua Quarshie,J. Quarshie,Southampton,Central Defender,ENG - Championship,99.3,81.0,46.4,17.7
Pablo Barrios Rivas,Pablo Barrios,Atlético Madrid,Midfield,ESP - LaLiga,77.8,78.3,86.0,66.9
Konstantinos Koulierakis,K. Koulierakis,VfL Wolfsburg,Central Defender,GER - Bundesliga,75.0,19.7,53.1,40.6
Alejandro Jiménez Sánchez,Álex Jiménez,Bournemouth,Full Back,ENG - Premier League,91.9,72.5,46.0,13.5
Zak Swanson,Z. Swanson,Portsmouth,Full Back,ENG - Championship,29.6,28.7,24.5,53.5
Santiago Tomás Castro,S. Castro,Bologna,Center Forward,ITA - Serie A,36.8,32.1,50.7,33.7
Odeluga Offiah,O. Offiah,Preston North End,Central Defender,ENG - Championship,86.9,66.8,83.7,94.2
Odeluga Offiah,O. Offiah,Preston North End,Full Back,ENG - Championship,58.1,64.0,58.1,39.9
Tommi Dylan Brooklyn O'Reilly,T. O'Reilly,Crewe Alexandra FC,Wide Attacker,ENG - League Two,51.2,76.2,64.5,44.8
Bilal El Khannouss,B. El Khannouss,VfB Stuttgart,Midfield,GER - Bundesliga,99.6,87.1,39.8,23.6
Cameron Congreve,C. Congreve,Dundee FC,Wide Attacker,SCO - Premiership,46.9,32.2,59.1,88.6
Máximo Perrone,M. Perrone,Como 1907,Midfield,ITA - Serie A,47.0,54.9,37.0,30.4
Arthur Augusto de Matos Soares,Arthur,Bayer 04 Leverkusen,Full Back,GER - Bundesliga,96.1,63.3,55.8,65.8
Renato Palma Veiga,Renato Veiga,Villarreal CF,Central Defender,ESP - LaLiga,10.6,20.9,64.7,78.8
Kacper Mieczyslaw Łopata,Kacper Łopata,Bristol Rovers FC,Central Defender,ENG - League Two,58.8,37.3,4.4,19.3
Yassine Belkhdim,Y. Belkhdim,Angers SCO,Wide Attacker,FRA - Ligue 1,37.6,21.9,75.7,99.9
Daniel Kankam Kyerewaa,D. Kyerewaa,Reading,Wide Attacker,ENG - League One,65.5,24.1,47.8,45.7
Adrian Segecic,A. Segecic,Portsmouth,Wide Attacker,ENG - Championship,26.6,33.4,48.8,84.1
Elijah Henry Just,E. Just,Motherwell,Midfield,SCO - Premiership,85.2,59.6,82.4,93.9
Carlos Noom Quomah Baleba,C. Baleba,Brighton and Hove Albion,Midfield,ENG - Premier League,95.5,86.0,51.5,33.8
Emmanuel Fernandez,E. Fernandez,Rangers,Central Defender,SCO - Premiership,82.7,68.3,45.4,46.6
Matthew Joseph Virtue-Thick,M. Virtue-Thick,Fleetwood Town FC,Midfield,ENG - League Two,23.4,34.8,30.7,60.2
Lewis Billington,L. Billington,Crewe Alexandra FC,Full Back,ENG - League Two,19.5,56.0,41.8,74.7
Giovane Santana do Nascimento,Giovane,Hellas Verona,Center Forward,ITA - Serie A,61.6,44.2,70.6,77.3
Joel Chima Fujita,J. Fujita,FC St. Pauli,Midfield,GER - Bundesliga,32.5,54.6,62.9,51.5
Akor Jerome Adams,A. Adams,Sevilla FC,Center Forward,ESP - LaLiga,76.4,82.6,60.8,18.2
Leny Yoro,L. Yoro,Manchester United,Central Defender,ENG - Premier League,65.5,51.3,76.4,71.6
Ben Woods,B. Woods,Peterborough United,Midfield,ENG - League One,17.6,35.9,45.1,88.1
Dara  Costelloe,D. Costelloe,Wigan Athletic,Center Forward,ENG - League One,71.5,86.5,97.6,97.8
Matthew Baker,M. Baker,Newport County AFC,Central Defender,ENG - League Two,49.7,77.2,36.4,63.9
Daniel Kanu,D. Kanu,Walsall FC,Center Forward,ENG - League Two,91.5,72.4,40.6,33.3
Nicolò Savona,N. Savona,Nottingham Forest,Full Back,ENG - Premier League,80.5,58.7,59.6,55.7
Samuel Iling-Junior,S. Iling-Junior,West Bromwich Albion,Wide Attacker,ENG - Championship,37.2,12.3,30.8,81.4
Diego Manuel Jadon da Silva Moreira,Diego Moreira,RC Strasbourg Alsace,Full Back,FRA - Ligue 1,87.3,76.2,83.9,83.3
Mateus Gonçalo Espanha Fernandes,Mateus Fernandes,West Ham United,Midfield,ENG - Premier League,46.3,62.1,31.9,34.4
Youssef Ramalho Chermiti,Youssef Chermiti,Rangers,Center Forward,SCO - Premiership,68.3,40.3,46.6,63.5
Álex Valle Gómez,Álex Valle,Como 1907,Full Back,ITA - Serie A,61.8,71.8,93.0,80.4
Tyreece Campbell,T. Campbell,Charlton Athletic,Wide Attacker,ENG - Championship,97.7,85.2,44.5,5.5
Noah Sadiki,N. Sadiki,Sunderland,Midfield,ENG - Premier League,87.9,92.4,68.8,44.3
Ashley Charles,A. Charles,Bromley FC,Midfield,ENG - League Two,23.2,60.7,39.6,31.5
Brodie Spencer,B. Spencer,Oxford United,Full Back,ENG - Championship,60.6,53.6,73.9,68.8
Michael Forbes,M. Forbes,Northampton Town FC,Central Defender,ENG - League One,73.4,69.0,32.4,81.0
Terry Devlin,T. Devlin,Portsmouth,Full Back,ENG - Championship,33.7,53.0,56.3,57.2
Ruairi McConville,R. McConville,Norwich City,Central Defender,ENG - Championship,58.6,40.5,44.0,53.9
